Timestamp,Values,Type
2024-06-26 09:36:00,100,Peak
2024-06-26 09:36:00,99,Low
2024-06-26 09:42:00,98,Low
2024-06-26 09:42:00,99,Peak
2024-06-26 09:57:00,97,Low
2024-06-26 09:58:00,98,Peak
2024-06-26 10:33:00,95,Low
2024-06-26 10:33:00,96,Peak
2024-06-26 10:41:00,94,Low
2024-06-26 10:41:00,95,Peak
2024-06-26 10:58:00,92,Low
2024-06-26 10:58:00,93,Peak
2024-06-26 11:08:00,90,Low
2024-06-26 11:08:00,91,Peak
2024-06-26 11:23:00,89,Low
2024-06-26 11:23:00,90,Peak
2024-06-26 11:39:00,86,Peak
2024-06-26 11:41:00,84,Low
2024-06-26 11:47:00,84,Peak
2024-06-26 11:49:00,82,Low
2024-06-26 11:56:00,80,Low
2024-06-26 11:56:00,81,Peak
2024-06-26 11:59:00,80,Peak
2024-06-26 12:01:00,78,Low
2024-06-26 12:13:00,74,Low
2024-06-26 12:13:00,75,Peak
2024-06-26 12:23:00,72,Peak
2024-06-26 12:25:00,70,Low
2024-06-26 12:34:00,67,Low
2024-06-26 12:34:00,68,Peak
2024-06-26 12:37:00,66,Low
2024-06-26 12:37:00,67,Peak
2024-06-26 12:41:00,66,Peak
2024-06-26 12:41:00,65,Low
2024-06-26 12:51:00,63,Peak
2024-06-26 12:51:00,62,Low
2024-06-26 12:55:00,61,Low
2024-06-26 12:55:00,62,Peak
2024-06-26 13:06:00,58,Low
2024-06-26 13:07:00,59,Peak
2024-06-26 13:24:00,53,Low
2024-06-26 13:24:00,54,Peak
2024-06-26 13:37:00,50,Low
2024-06-26 13:37:00,51,Peak
2024-06-26 13:40:00,49,Low
2024-06-26 13:40:00,50,Peak
2024-06-26 13:48:00,47,Peak
2024-06-26 13:48:00,46,Low
2024-06-26 13:51:00,45,Low
2024-06-26 13:57:00,43,Low
2024-06-26 13:57:00,44,Peak
2024-06-26 14:05:00,41,Low
2024-06-26 15:23:00,90,Peak
2024-06-26 15:53:00,80,Low
2024-06-26 15:53:00,81,Peak
2024-06-26 15:59:00,79,Peak
2024-06-26 15:59:00,78,Low
2024-06-26 16:08:00,75,Low
2024-06-26 16:08:00,76,Peak
2024-06-26 16:13:00,73,Low
2024-06-26 16:13:00,74,Peak
2024-06-26 16:22:00,70,Low
2024-06-26 16:22:00,71,Peak
2024-06-26 16:30:00,68,Low
2024-06-26 16:30:00,69,Peak
2024-06-26 16:37:00,67,Peak
2024-06-26 16:37:00,66,Low
2024-06-26 17:09:00,58,Peak
2024-06-26 17:12:00,56,Low
2024-06-26 17:37:00,50,Peak
2024-06-26 17:39:00,48,Low
2024-06-26 17:43:00,48,Peak
2024-06-26 17:43:00,47,Low
2024-06-26 17:49:00,47,Peak
2024-06-26 17:49:00,46,Low
2024-06-26 18:00:00,45,Peak
2024-06-26 18:00:00,44,Low
2024-06-26 18:14:00,43,Peak
2024-06-26 18:14:00,42,Low
2024-06-26 19:34:00,37,Peak
2024-06-26 19:34:00,36,Low
2024-06-26 20:05:00,35,Low
2024-06-26 20:05:00,36,Peak
2024-06-26 20:12:00,34,Low
2024-06-26 20:12:00,35,Peak
2024-06-26 20:57:00,32,Low
2024-06-26 21:13:00,32,Low
2024-06-26 21:13:00,33,Peak
2024-06-26 21:16:00,35,Low
2024-06-26 21:16:00,36,Peak
2024-06-26 21:22:00,41,Low
2024-06-26 21:22:00,42,Peak
2024-06-26 21:27:00,46,Low
2024-06-26 21:27:00,47,Peak
2024-06-26 21:30:00,50,Peak
2024-06-26 21:30:00,48,Low
2024-06-26 21:38:00,56,Low
2024-06-26 21:38:00,57,Peak
2024-06-26 21:41:00,60,Peak
2024-06-26 21:41:00,59,Low
2024-06-26 21:44:00,62,Low
2024-06-26 21:44:00,63,Peak
2024-06-26 21:47:00,65,Low
2024-06-26 21:49:00,68,Peak
2024-06-26 21:51:00,69,Low
2024-06-26 21:52:00,71,Peak
2024-06-26 21:56:00,75,Peak
2024-06-26 21:56:00,74,Low
2024-06-26 21:59:00,78,Peak
2024-06-26 21:59:00,77,Low
2024-06-26 22:07:00,81,Peak
2024-06-26 22:07:00,80,Low
2024-06-26 22:10:00,84,Peak
2024-06-26 22:10:00,82,Low
2024-06-26 22:31:00,100,Peak
2024-06-26 22:39:00,99,Low
2024-06-26 22:39:00,100,Peak
2024-06-26 23:16:00,94,Peak
